"Name","Live Bytes","Live Objects"
"org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment","7,168 B (0%)","128 (0%)"
"org.thymeleaf.engine.HTMLAttributeDefinition","7,104 B (0%)","222 (0%)"
"sun.rmi.transport.ConnectionInputStream","7,056 B (0%)","98 (0%)"
"java.util.regex.Pattern","6,952 B (0%)","79 (0%)"
"java.util.ImmutableCollections$List12","6,888 B (0%)","287 (0%)"
"java.lang.reflect.Parameter","6,840 B (0%)","171 (0%)"
"org.springframework.core.convert.support.GenericConversionService$ConvertersForPair","6,832 B (0%)","427 (0.1%)"
"org.springframework.core.ResolvableType$DefaultVariableResolver","6,832 B (0%)","427 (0.1%)"
"java.lang.CharSequence[]","6,600 B (0%)","224 (0%)"
"javax.management.ImmutableDescriptor","6,552 B (0%)","273 (0%)"
"java.rmi.server.UID","6,528 B (0%)","204 (0%)"
"java.util.Hashtable$Entry","6,496 B (0%)","203 (0%)"
"java.io.FileCleanable","6,496 B (0%)","116 (0%)"
"java.io.ObjectInputStream$BlockDataInputStream","6,440 B (0%)","115 (0%)"
"javax.management.ObjectName$Property","6,432 B (0%)","268 (0%)"
"org.h2.expression.function.FunctionInfo","6,400 B (0%)","200 (0%)"
"org.h2.engine.Session","6,336 B (0%)","22 (0%)"
"sun.rmi.transport.ConnectionOutputStream","6,336 B (0%)","99 (0%)"
"java.util.jar.JarFile","6,272 B (0%)","112 (0%)"
"java.lang.Short","6,160 B (0%)","385 (0.1%)"
"java.lang.Character","6,032 B (0%)","377 (0.1%)"
"org.apache.logging.log4j.message.DefaultFlowMessageFactory","6,000 B (0%)","250 (0%)"
"org.thymeleaf.engine.Text","5,992 B (0%)","107 (0%)"
"org.thymeleaf.processor.element.IElementProcessor[]","5,952 B (0%)","355 (0.1%)"
"org.springframework.core.annotation.AnnotationTypeMappings[]","5,928 B (0%)","219 (0%)"
"org.jboss.logging.Log4j2Logger","5,928 B (0%)","247 (0%)"
"org.springframework.core.annotation.MergedAnnotation[]","5,904 B (0%)","218 (0%)"
"org.graalvm.visualvm.lib.jfluid.server.ClassLoaderManager","5,856 B (0%)","183 (0%)"
"java.lang.ref.PhantomReference","5,856 B (0%)","183 (0%)"
"com.sun.jmx.mbeanserver.ConvertingMethod","5,760 B (0%)","180 (0%)"
"org.springframework.beans.MutablePropertyValues","5,712 B (0%)","238 (0%)"
"java.util.concurrent.ConcurrentHashMap$TreeNode","5,664 B (0%)","118 (0%)"
"java.io.FileDescriptor","5,640 B (0%)","141 (0%)"
"org.springframework.core.convert.support.GenericConversionService$ConverterAdapter","5,536 B (0%)","173 (0%)"
"jdk.internal.loader.AbstractClassLoaderValue$Sub","5,376 B (0%)","224 (0%)"
"jdk.internal.loader.URLClassPath$JarLoader","5,376 B (0%)","112 (0%)"
"org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$HashEntry[]","5,376 B (0%)","128 (0%)"
"java.util.logging.LogManager$LogNode","5,312 B (0%)","166 (0%)"
"com.fasterxml.jackson.databind.type.ClassKey","5,280 B (0%)","220 (0%)"
"org.springframework.core.annotation.MergedAnnotationsCollection","5,232 B (0%)","218 (0%)"
"java.security.Principal[]","5,232 B (0%)","327 (0.1%)"
"java.security.ProtectionDomain$Key","5,232 B (0%)","327 (0.1%)"
"org.hibernate.engine.jdbc.spi.TypeInfo","5,152 B (0%)","92 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry","5,056 B (0%)","158 (0%)"
"java.lang.Character$UnicodeBlock","4,944 B (0%)","309 (0.1%)"
"org.springframework.core.type.classreading.SimpleAnnotationMetadata","4,928 B (0%)","88 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionMessage","4,864 B (0%)","304 (0.1%)"
"javax.management.ObjectName","4,832 B (0%)","151 (0%)"
"org.thymeleaf.engine.HTMLElementName","4,760 B (0%)","119 (0%)"
"java.util.logging.Logger","4,760 B (0%)","85 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName","4,704 B (0%)","196 (0%)"
"org.h2.value.Value[]","4,704 B (0%)","20 (0%)"
"org.thymeleaf.standard.processor.StandardRemovableAttributeTagProcessor","4,656 B (0%)","97 (0%)"
"org.thymeleaf.engine.Attribute","4,608 B (0%)","96 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$Segment","4,608 B (0%)","96 (0%)"
"java.util.Collections$UnmodifiableRandomAccessList","4,608 B (0%)","192 (0%)"
"org.springframework.boot.context.properties.source.PropertyMapping","4,608 B (0%)","192 (0%)"
"java.util.HashMap$ValueIterator","4,560 B (0%)","114 (0%)"
"java.io.File","4,544 B (0%)","142 (0%)"
"org.apache.tomcat.util.threads.TaskThread","4,512 B (0%)","12 (0%)"
"org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider","4,512 B (0%)","141 (0%)"
"java.util.zip.Inflater$InflaterZStreamRef","4,488 B (0%)","187 (0%)"
"java.math.BigInteger","4,440 B (0%)","111 (0%)"
"antlr.ANTLRHashString","4,288 B (0%)","134 (0%)"
"org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source","4,256 B (0%)","133 (0%)"
"org.springframework.core.type.classreading.SimpleMethodMetadata","4,256 B (0%)","133 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot","4,224 B (0%)","176 (0%)"
"org.springframework.boot.web.server.MimeMappings$Mapping","4,224 B (0%)","176 (0%)"
"com.sun.beans.introspect.PropertyInfo","4,200 B (0%)","105 (0%)"
"sun.nio.fs.UnixPath","4,192 B (0%)","131 (0%)"
"java.util.zip.ZipFile$CleanableResource","4,160 B (0%)","130 (0%)"
"java.util.Collections$SingletonList","4,104 B (0%)","171 (0%)"
"java.lang.Byte","4,096 B (0%)","256 (0%)"
"org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes","4,080 B (0%)","255 (0%)"
"java.io.DataInputStream","4,064 B (0%)","127 (0%)"
"java.util.ArrayList$Itr","4,064 B (0%)","127 (0%)"
"java.io.ObjectOutputStream$BlockDataOutputStream","4,000 B (0%)","100 (0%)"
"java.util.Collections$SetFromMap","3,984 B (0%)","166 (0%)"
"org.apache.logging.log4j.message.ParameterizedMessageFactory","3,984 B (0%)","249 (0%)"
"sun.rmi.transport.StreamRemoteCall","3,960 B (0%)","99 (0%)"
"org.apache.logging.log4j.message.MessageFormatMessageFactory","3,952 B (0%)","247 (0%)"
"jdk.internal.module.ServicesCatalog$ServiceProvider","3,912 B (0%)","163 (0%)"
"java.lang.invoke.MethodHandle[]","3,856 B (0%)","51 (0%)"
"com.sun.beans.util.Cache$Kind$Soft","3,840 B (0%)","96 (0%)"
"com.sun.jmx.mbeanserver.MXBeanMapping[]","3,808 B (0%)","191 (0%)"
"sun.reflect.generics.repository.MethodRepository","3,800 B (0%)","95 (0%)"
"org.thymeleaf.engine.HTMLElementDefinition","3,776 B (0%)","118 (0%)"
"java.util.Arrays$ArrayList","3,720 B (0%)","155 (0%)"
"sun.reflect.generics.reflectiveObjects.TypeVariableImpl","3,712 B (0%)","116 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRSHashEntry","3,696 B (0%)","66 (0%)"
"java.io.ObjectInputStream$PeekInputStream","3,680 B (0%)","115 (0%)"
"java.io.ObjectInputStream$HandleTable","3,680 B (0%)","115 (0%)"
"java.io.RandomAccessFile","3,648 B (0%)","114 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet[]","3,624 B (0%)","136 (0%)"
"org.springframework.util.ConcurrentReferenceHashMap","3,600 B (0%)","90 (0%)"
"java.security.Provider$ServiceKey","3,600 B (0%)","150 (0%)"
"sun.nio.fs.UnixFileKey","3,552 B (0%)","111 (0%)"
"java.util.Hashtable$Entry[]","3,544 B (0%)","45 (0%)"
"org.apache.catalina.util.ManifestResource","3,520 B (0%)","110 (0%)"
"java.util.logging.Logger$ConfigurationData","3,440 B (0%)","86 (0%)"
"org.h2.table.MetaTable","3,432 B (0%)","33 (0%)"
"java.util.ArrayDeque","3,408 B (0%)","142 (0%)"
"java.io.ObjectStreamClass$ClassDataSlot[]","3,408 B (0%)","140 (0%)"
"javax.management.openmbean.OpenMBeanAttributeInfoSupport","3,392 B (0%)","53 (0%)"
"java.util.ResourceBundle$CacheKey","3,384 B (0%)","47 (0%)"
"sun.reflect.generics.tree.MethodTypeSignature","3,296 B (0%)","103 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","3,280 B (0%)","29 (0%)"
"org.thymeleaf.standard.processor.StandardDOMEventAttributeTagProcessor","3,264 B (0%)","68 (0%)"
"java.lang.reflect.TypeVariable[]","3,256 B (0%)","155 (0%)"
"java.util.regex.Pattern$BmpCharProperty","3,168 B (0%)","132 (0%)"
"java.io.ObjectInputStream$FieldValues","3,168 B (0%)","132 (0%)"
"java.text.DecimalFormat","3,168 B (0%)","22 (0%)"
"jdk.internal.loader.BuiltinClassLoader$1","3,168 B (0%)","99 (0%)"
"com.sun.management.internal.DiagnosticCommandArgumentInfo","3,160 B (0%)","79 (0%)"
"sun.rmi.transport.Transport$$Lambda$858.0x00000008011acb58","3,152 B (0%)","197 (0%)"
"sun.rmi.transport.Transport$1","3,136 B (0%)","98 (0%)"
"java.security.Provider$Service","3,136 B (0%)","56 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping[]","3,128 B (0%)","115 (0%)"
"java.io.ObjectStreamField[]","3,120 B (0%)","108 (0%)"
"java.util.concurrent.ConcurrentLinkedQueue$Node","3,096 B (0%)","129 (0%)"
"jdk.internal.module.SystemModuleFinders$2","3,096 B (0%)","129 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LIRS","3,072 B (0%)","64 (0%)"
"java.lang.Thread[]","3,072 B (0%)","22 (0%)"
"java.lang.invoke.LambdaFormEditor$Transform","3,072 B (0%)","64 (0%)"
"javax.management.MBeanAttributeInfo[]","3,056 B (0%)","60 (0%)"
"com.sun.beans.introspect.MethodInfo","3,024 B (0%)","126 (0%)"
"java.util.ResourceBundle$KeyElementReference","3,008 B (0%)","94 (0%)"
"java.lang.invoke.DirectMethodHandle$Interface","2,960 B (0%)","74 (0%)"
"java.lang.module.ModuleDescriptor$Provides","2,952 B (0%)","123 (0%)"
"java.nio.HeapByteBuffer","2,912 B (0%)","52 (0%)"
"java.lang.module.ResolvedModule","2,880 B (0%)","120 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter","2,880 B (0%)","120 (0%)"
"java.lang.RuntimePermission","2,856 B (0%)","119 (0%)"
"sun.reflect.annotation.AnnotationType","2,848 B (0%)","89 (0%)"
"java.security.AccessControlContext","2,840 B (0%)","71 (0%)"
"java.time.LocalDateTime","2,832 B (0%)","118 (0%)"
"javax.management.MBeanInfo","2,832 B (0%)","59 (0%)"
"org.thymeleaf.engine.ElementDefinitions$HTMLElementDefinitionSpec","2,832 B (0%)","118 (0%)"
"org.springframework.beans.factory.support.GenericBeanDefinition","2,808 B (0%)","27 (0%)"
"java.io.ObjectInputStream$FieldValues[]","2,784 B (0%)","116 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets","2,760 B (0%)","115 (0%)"
"org.h2.value.TypeInfo","2,720 B (0%)","68 (0%)"
"java.lang.invoke.DirectMethodHandle$Accessor","2,720 B (0%)","68 (0%)"
"java.util.zip.ZipFile$Source$Key","2,712 B (0%)","113 (0%)"
"java.lang.annotation.Annotation[]","2,696 B (0%)","125 (0%)"
"org.h2.value.ValueInt","2,672 B (0%)","167 (0%)"
"org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter","2,664 B (0%)","111 (0%)"
"org.springframework.beans.GenericTypeAwarePropertyDescriptor","2,592 B (0%)","27 (0%)"
"org.springframework.core.convert.TypeDescriptor","2,568 B (0%)","107 (0%)"
"java.lang.management.ThreadInfo[]","2,560 B (0%)","16 (0%)"
"org.hibernate.internal.util.collections.BoundedConcurrentHashMap$LRU","2,560 B (0%)","32 (0%)"
"java.lang.reflect.Parameter[]","2,552 B (0%)","100 (0%)"
"java.util.HashMap$EntrySet","2,512 B (0%)","157 (0%)"
"org.h2.value.ValueLong","2,496 B (0%)","104 (0%)"
"org.h2.table.Column[]","2,480 B (0%)","56 (0%)"
"java.util.concurrent.ConcurrentLinkedQueue","2,472 B (0%)","103 (0%)"
"javax.management.MBeanAttributeInfo","2,464 B (0%)","77 (0%)"
"java.util.ServiceLoader","2,464 B (0%)","44 (0%)"
"java.rmi.server.ObjID","2,448 B (0%)","102 (0%)"
"java.util.regex.Pattern$GroupTail","2,448 B (0%)","102 (0%)"
"sun.rmi.transport.ObjectEndpoint","2,424 B (0%)","101 (0%)"
"java.io.ObjectOutputStream$ReplaceTable","2,400 B (0%)","100 (0%)"
"java.util.regex.Pattern$GroupHead","2,376 B (0%)","99 (0%)"
"java.util.HashMap$KeySet","2,368 B (0%)","148 (0%)"
"java.lang.invoke.BoundMethodHandle$Species_LL","2,360 B (0%)","59 (0%)"
"java.util.GregorianCalendar","2,352 B (0%)","21 (0%)"
"javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation","2,352 B (0%)","98 (0%)"
"sun.reflect.generics.tree.TypeSignature[]","2,352 B (0%)","103 (0%)"
